,instrument,quantity,underlying,expiry,strike,put_call,underlying-expiry,time_to_expiry,underlying_price,timestamp,mark_iv,instrument_name,index_price,greeks,bid_iv,ask_iv,best_bid_price,best_ask_price,cost_of_carry_rate,multiplier,rate,vol,spot,atm_strike,atm_ivol,timestamp_atm_ivol,delta,position_delta,vega,position_vega
0,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723595971604.0,,BTC-27DEC24,60756.86,,,,63117.5,63152.5,default,1,0.0,,60756.86,61000,62.8,2024-08-14T00:39:54+00:00,1.0,-607568.6,0.0,-0.0
1,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723595972564.0,,BTC-27DEC24,60756.45,,,,63117.5,63152.5,default,1,0.0,,60756.45,61000,62.8,2024-08-14T00:39:54+00:00,1.0,-607564.5,0.0,-0.0
2,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723595971604.0,,BTC-27DEC24,60756.86,,,,63117.5,63152.5,default,1,0.0,,60756.86,61000,62.8,2024-08-14T00:39:54+00:00,1.0,-607568.6,0.0,-0.0
3,BTC-27DEC24,-10,BTC,2024-12-27,,,BTC-27DEC24,0.3726027397260274,,1723595972564.0,,BTC-27DEC24,60756.45,,,,63117.5,63152.5,default,1,0.0,,60756.45,61000,62.8,2024-08-14T00:39:54+00:00,1.0,-607564.5,0.0,-0.0
4,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723595973084.0,,BTC-PERPETUAL,60756.45,,,,60741.5,60742.0,default,1,0.0,,60756.45,,,,1.0,33416047.5,0.0,0.0
5,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723595973084.0,,BTC-PERPETUAL,60756.45,,,,60741.5,60742.0,default,1,0.0,,60756.45,,,,1.0,33416047.5,0.0,0.0
6,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723595973084.0,,BTC-PERPETUAL,60756.45,,,,60741.5,60742.0,default,1,0.0,,60756.45,,,,1.0,33416047.5,0.0,0.0
7,BTC-PERPETUAL,550,BTC,,,,BTC-PERPETUAL,,,1723595973084.0,,BTC-PERPETUAL,60756.45,,,,60741.5,60742.0,default,1,0.0,,60756.45,,,,1.0,33416047.5,0.0,0.0
8,BTC-25OCT24-44000-P,-50,BTC,2024-10-25,44000.0,put,BTC-25OCT24,0.2,61924.8992,1723595973584.0,62.51,BTC-25OCT24-44000-P,60750.36,"{'rho': -12.03069, 'theta': -18.65911, 'vega': 43.16893, 'gamma': 1e-05, 'delta': -0.08574}",61.3,63.46,0.0115,0.013,default,1,0.0,0.6251,61924.8992,61000,57.44,2024-08-14T00:39:54+00:00,-0.08656720713131372,268033.2787816061,43.68714831958189,-2184.357415979094
9,BTC-25OCT24-45000-P,-150,BTC,2024-10-25,45000.0,put,BTC-25OCT24,0.2,61924.8992,1723595974591.0,61.65,BTC-25OCT24-45000-P,60744.13,"{'rho': -13.58157, 'theta': -20.11481, 'vega': 47.18521, 'gamma': 1e-05, 'delta': -0.09667}",60.93,62.24,0.0135,0.0145,default,1,0.0,0.6164999999999999,61924.8992,61000,57.44,2024-08-14T00:39:54+00:00,-0.09751862628254115,905824.6654003247,47.716357427765324,-7157.453614164799
10,BTC-27DEC24-100000-C,-230,BTC,2024-12-27,100000.0,call,BTC-27DEC24,0.3726027397260274,63117.63,1723595974591.0,68.26,BTC-27DEC24-100000-C,60744.13,"{'rho': 34.93507, 'theta': -25.8033, 'vega': 102.30029, 'gamma': 1e-05, 'delta': 0.18419}",67.71,68.64,0.034,0.0355,default,1,0.0,0.6826000000000001,63117.63,61000,62.8,2024-08-14T00:39:54+00:00,0.18510684811983907,-2687206.2765216655,102.87883218943027,-23662.13140356896
11,BTC-27DEC24-105000-C,-135,BTC,2024-12-27,105000.0,call,BTC-27DEC24,0.3726027397260274,63116.95,1723595975838.0,68.73,BTC-27DEC24-105000-C,60743.6,"{'rho': 29.96996, 'theta': -23.44724, 'vega': 92.32433, 'gamma': 1e-05, 'delta': 0.15694}",68.14,68.83,0.028,0.029,default,1,0.0,0.6873,63116.95,61000,62.8,2024-08-14T00:39:54+00:00,0.1578321339780463,-1344854.1926725626,92.90721766324877,-12542.474384538584
12,BTC,100,BTC,,,,,,,,,,,,,,,,default,1,0.0,,,,,,0.0,,0.0,0.0
